family,instance,vcpu,coremark,cjpeg-rose7-preset,core,linear_alg-mid-100x100-sp,loops-all-mid-10k-sp,nnet_test,parser-125k,radix2-big-64k,sha-test,zip-test
m5,m5.large,2,6829.5,192.07,1.91,212.93,9.29,10.2,51.23,844.18,186.78,153.1
m5,m5.xlarge,4,13814.58,386.41,3.86,429.83,18.7,20.77,103.57,1724.44,376.95,309.55
m5,m5.2xlarge,8,27595.93,775.48,7.77,869.23,35.76,41.66,208.41,3474.64,753.72,617.15
m5,m5.4xlarge,16,54873.83,1551.98,15.51,1732.38,70.01,80.6,417.41,6977.15,1517.73,1228.24
m5,m5.8xlarge,32,109285.05,3095.59,30.89,3471.39,136.32,165.41,834.52,13809.29,3040.07,2401.25
m5,m5.12xlarge,48,163521.55,4652.89,46.3,5181.88,202.61,249.44,1241.77,20835.5,4565.17,3552.4
m5,m5.16xlarge,64,218415.76,6209.64,61.54,6892.27,273.41,332.78,1654.81,27921.26,6078.66,4759.64
m5,m5.24xlarge,96,322606.71,9310.99,91.17,10297.6,395.65,489.32,2455.19,41084.63,9119.93,6884.68
c5,c5.large,2,7484.93,211.2,2.1,233.35,10.26,11.22,55.83,918.15,204.86,166.9
c5,c5.xlarge,4,15998.64,449.41,4.49,499.89,21.51,24.13,120.2,1968.21,438.5,358.02
c5,c5.2xlarge,8,32050.03,898.52,9,1003.57,42.3,48.19,242.01,4009.54,881.51,714.09
c5,c5.4xlarge,16,63829.73,1801.02,18.04,2010.05,81.64,96.93,484.31,7995.84,1766.19,1409.05
c5,c5.9xlarge,36,134418.65,3824.09,38.2,4277.53,166.93,203.03,1023.02,17228.01,3757,2893.1
c5,c5.12xlarge,48,179316.11,5367.69,51.7,5405.99,226.07,258.26,1428.57,21404.11,5287.65,3832.89
c5,c5.18xlarge,72,264846.93,7659.31,75.97,8388.56,329.06,399.89,2006.42,33211.56,7505.25,5652.11
c5,c5.24xlarge,96,356990.38,10766.58,102.03,10940.92,433.18,523.19,2853.88,43327.56,10579.77,7483.63
c5a,c5a.large,2,7885.26,241.07,2.61,266.33,11.1,11.89,54.53,604.65,238.04,192.27
c5a,c5a.xlarge,4,15879.41,482.5,5.24,536.5,22.3,24.04,110.11,1222.53,480.04,386.88
c5a,c5a.2xlarge,8,31867.13,964.73,10.57,1076.08,44.58,48.25,220.56,2466,966.17,773.78
c5a,c5a.4xlarge,16,63684.92,1926.71,21.84,2155.03,87.57,96.49,441.95,5009.39,1935.21,1542.97
c5a,c5a.8xlarge,32,126688.37,3845.56,41.97,4288.9,172.34,193.4,880.59,9897.07,3882.44,3049.48
c5a,c5a.12xlarge,48,186700.45,5728.03,63.14,6410.26,242.57,287.96,1311.13,13954.79,5817.67,4527.96
c5a,c5a.16xlarge,64,248247.02,7664.01,83.48,8604.37,324.68,386.15,1737.32,18518.52,7739.94,5899.71
c5a,c5a.24xlarge,96,339909.93,11066.84,119.92,11558.02,417.28,523.19,2460.02,24319.07,10867.2,7878.67
r5,r5.large,2,6785.9,190.24,1.91,212.14,9.51,10.17,51.46,802.01,185.75,151.18
r5,r5.xlarge,4,13744.37,384.57,3.85,428.84,18.45,20.65,103.32,1721.57,376.05,306.33
r5,r5.2xlarge,8,27459.14,775.76,7.75,861.28,35.86,41.49,200.17,3473.79,758.79,618.78
r5,r5.4xlarge,16,55210.16,1548.08,15.52,1730.4,71.9,83.23,416.41,7000.6,1518.51,1225.53
r5,r5.8xlarge,32,109288.11,3094.44,30.85,3468.49,136.23,166.51,830.36,13746.65,3043.21,2414
r5,r5.12xlarge,48,163002.29,4646.84,46.33,5178.4,202.74,248.96,1248.13,20316.94,4566.84,3530.14
r5,r5.16xlarge,64,217445.34,6206.55,61.52,6888.95,270.64,330.8,1652.35,27502.75,6083.1,4727.57
r5,r5.24xlarge,96,321686.16,9281.6,90.91,10280.66,395.88,488.28,2447.38,40658.67,9123.26,6862.24
m6g,m6g.large,2,10457.98,295.54,2.96,263.83,14.16,16.29,61.94,1350.13,463.4,205.39
m6g,m6g.xlarge,4,21301.3,596.97,5.95,538.73,28.49,32.77,126.83,2907.4,934.26,415.45
m6g,m6g.2xlarge,8,42647.76,1197,11.95,1081.39,57.14,65.7,254.98,5701.42,1874.87,835.07
m6g,m6g.4xlarge,16,85630.73,2395.78,23.81,2167.55,113.82,131.5,509.84,11841.33,3758.27,1669.52
m6g,m6g.8xlarge,32,170922.43,4786.98,46.94,4337.64,226.78,263.16,1022.6,23685.46,7522.76,3326.68
m6g,m6g.12xlarge,48,256100.11,7171.54,71.44,6504.49,337.78,392.57,1530.46,35366.93,11280.32,4973.89
m6g,m6g.16xlarge,64,339404.97,9563.89,93.72,8668.52,440.82,525.03,2023.06,46981.44,15046.64,6581.11
c6g,c6g.large,2,10510.88,296.34,2.96,267.44,14.15,16.02,63.04,1383.83,461.99,206.9
c6g,c6g.xlarge,4,21284.29,595.42,5.94,538.64,28.5,32.78,127.05,2897,933.31,415.23
c6g,c6g.2xlarge,8,42738.26,1198.18,11.91,1081.62,57.08,65.76,254.25,5882.01,1875.57,828.98
c6g,c6g.4xlarge,16,85656.51,2397.51,23.8,2166.8,113.88,131.61,510.41,11818.93,3761.24,1671.82
c6g,c6g.8xlarge,32,170933.67,4788.35,46.92,4333.88,226.78,263.13,1024.38,23651.84,7518.23,3333.33
c6g,c6g.12xlarge,48,256066.95,7183.91,71.43,6503.64,337.72,392.31,1529.05,35360.68,11286.68,4967.71
c6g,c6g.16xlarge,64,339409.12,9552.92,93.76,8670.77,441.01,525.3,2025.52,46882.33,15042.12,6586.53
r6g,r6g.large,2,10536.2,296.52,2.96,267.62,14.06,16.3,63.03,1396.25,462,207.03
r6g,r6g.xlarge,4,21256.54,597.37,5.93,538.87,28.5,32.81,127.14,2853.72,930.99,416.13
r6g,r6g.2xlarge,8,42791.53,1197.78,11.96,1081.58,57.17,65.76,256.07,5826.83,1876.49,835.32
r6g,r6g.4xlarge,16,85592.44,2397.62,23.79,2166.42,113.91,131.37,511.8,11757.79,3757.84,1669.73
r6g,r6g.8xlarge,32,169952.72,4783.77,46.92,4279.17,223.59,261.14,1023.44,23301.88,7522.19,3329.73
r6g,r6g.12xlarge,48,255936.41,7187.01,71.38,6504.91,337.72,392.57,1529.75,35087.72,11286.68,4978.22
r6g,r6g.16xlarge,64,339287.27,9562.06,93.77,8670.77,440.63,525.39,2023.88,46750.82,15039.86,6587.62
i3,i3.large,2,5091.18,172.03,1.89,171.06,6.72,8.11,20.3,538.94,153.47,127.87
i3,i3.xlarge,4,10231.2,347.25,3.85,346.71,13.71,16.35,39.26,1070.09,308.75,258.11
i3,i3.2xlarge,8,20618.04,698.34,7.74,699.33,27.45,33.13,79.55,2142.29,628.53,517.84
i3,i3.4xlarge,16,40634.97,1392.72,15.46,1396.88,54,66.3,151.11,4068.18,1257.81,1027.35
i3,i3.8xlarge,32,80164.9,2764.26,30.62,2789.24,106.24,132.08,304.7,7571.17,2507.46,2020.51
i3,i3.16xlarge,64,154794.99,5431.83,59.34,5445.14,199.32,256.7,592.24,14342.06,4903.4,3863.61
r5a,r5a.large,2,5524.34,166.88,1.88,174.62,8,8.43,32.47,492.74,176.2,130.29
r5a,r5a.xlarge,4,11117.22,318.04,3.82,349.61,16.15,17.07,66.31,999.87,358.81,263.7
r5a,r5a.2xlarge,8,22449.06,674.04,7.64,699.11,32.51,34.29,134.21,2010.23,721.36,525
r5a,r5a.4xlarge,16,44952.93,1347.89,15.28,1399.03,64.71,68.71,271.89,4031.04,1446.34,1045.23
r5a,r5a.8xlarge,32,89426.45,2693.53,30.16,2797.05,127.84,137.49,545.76,8000,2891.68,2054.13
r5a,r5a.12xlarge,48,133158,4029.98,45.48,4185.5,188.16,205.09,815.73,11917.53,4336.33,2986.63
r5a,r5a.16xlarge,64,174906.38,5386.19,59.85,5554.01,244.53,267.74,1062.47,15589.68,5781.02,3865.11
r5a,r5a.24xlarge,96,254242.37,8037.29,87.5,8352.13,353.79,406.5,1511.94,23158.87,8640.06,4918.23
i4i,i4i.large,2,8242.1,244.29,2.56,206.62,11.23,11.16,63.26,1211.54,221.32,180.95
i4i,i4i.xlarge,4,16537.44,489.16,5.14,415.24,22.29,22.39,127.66,2455.1,440.7,364.03
i4i,i4i.2xlarge,8,32914.69,981.69,10.28,832.87,42.72,44.97,255.25,4852.48,890.15,721.1
i4i,i4i.4xlarge,16,66234.85,1973.55,20.7,1672.74,85.49,90.22,514.62,9861.45,1793.3,1448.44
i4i,i4i.8xlarge,32,126717.22,3804.31,40.55,3258.28,156.74,166.02,1022.49,18433.18,3493.82,2769.7
i4i,i4i.16xlarge,64,246070,7803.96,80.16,6352.84,291.93,335.01,1991.64,32981.53,7084.66,5178.66
i4i,i4i.32xlarge,128,485267.2,15644.56,160.15,12792.63,563.06,683.84,3589.38,67272.12,14318.44,9903.44
